page,block,company,text,section,dates_mentioned,words
14,PECAN ENERGIES,," Pecan Energies’ Plan of Development (PoD) for the Pecan field was approved by the Minister of Energy (MoE) in June 2023. Post this approval, Pecan Energies has worked towards securing Final Investment Decision (FID) and commence development activities including the contracting or procurement of items. The development concept for the Pecan field considers the Water Alternating Gas (WAG) recovery and deployment of existing Floating Production Storage and Offloading (FPSO) Dhirubhai 1 which will undergo modification to best fit the requirements of the field. The PoD also considers additional development studies to be carried out for the other discoveries within the Deep Water Tano Cape Three Points (DWT/CTP) license area. In 2025, negotiations commenced between the Government of Ghana, Pecan Energies and Shell for possible farm in by Shell. In this regard, Shell submitted a proposal to commence discussions on the field’s capacity and producibility as well as fiscal regimes. The plan for 2026 is to continue with discussions towards the farm-in by a Supper-Major international Oil company and subsequent development of field by the Operator and partners. Government is engaging Pecan, Lukoil and other key stakeholders to resolve issues surrounding the US and UK sanctions on Lukoil.",Development and production,June 2023; 2025; 2026,197
14,ENI EXPLORATION AND PRODUCTION GHANA LIMITED,," In 2025, Eni E&P Ghana Limited (Eni) completed the drilling and evaluation of its discovery of Eban-Akoma. Eni in July 2025 declared commerciality for the Eban-Akoma discoveries and this led to additional studies towards the submission of the development plan of the Eban-Akoma. These studies include the subsurface studies for the identification and location of wells as well as the facilities to support production from the yet to be drilled well. These facilities cover the subsea installations and modifications to the existing FPSO as the Operator intends to tie back the development to the FPSO John Agyekum Kufuor (JAK). The Operator in 2026 intends to submit the PoD for the Eban-Akoma. Development activities on the Eban- Akoma will commence post the approval of the PoD by the Minister of Energy and Green Transition (MoEGT). In addition, Eni following the discovery of the Aprokuma well continued with G&G studies towards the appraisal of the discovery. Eni in 2025 conducted series of studies and plans for 2026 is to continue with the G&G studies leading to drilling of a well to appraise the Aprokuma discovery. In relation to the Offshore Cape Three Points (OCTP), Eni as part of the project on Associated Gas (AG) handling activities selected some Oil Producing (OP) wells to re-enter and sidetrack the existing location at the reservoir. The well re-entering drilling and completion activities were to target the unswept areas within the reservoir. Also, some of the wells had reached high GOR due to the impact of the gas injection. In 2025, Eni plugged the existing location of the SNKE-1X ST and OP-3 wells and sidetracked them by changing the reservoir location to enhance oil production. These activities required PoD amendments which were submitted to the Minister of Energy and Green Transition and were approved. Eni in 2025 continuously conducted studies into the Gye Nyame. Due to high gas production Eni conducted a study into the fabrication of an additional HP compressor in 2025 but this project was put on hold. Ghana Upstream Petroleum Business Outlook Report 2026 11 For the year 2026, Eni will commence development activities based on the 2025 studies conducted studies into the Gye Nyame development, but the 2026 plans include awarding of major subsea contracts. The Gye Nyame development is planned to be tied to the FPSO JAK. The major contribution activities include the subsea equipment fabrication and installation, FPSO preparations as well as drilling of Gye Nyame well. Eni Ghana and Vitol have signed Memprandum of Intent with the State (Ministry of Energy & Green Transitions and GNPC) to implement Integrated Strategic Plan (ISP) which proposes development activities and strategic investments in the country, through an injection of about US$1.5 billion to enhance oil and gas production capacity in Ghana Upstream sector. The Parties are also requesting for an extension of the OCTP Petroleum Agreement to 2046. Under the ISP the OCTP partners will upgrade the OCTP facilities and increase gas production from 246 MMscfd to 350 MMscfd by 2028 through the development of Gye Nyame, the installation of a booster compressor and of a new non-associated gas system on the FPSO. The proposed initiatives are expected to contribute to Ghana’s overarching strategy for reliable, cost-effective, and environmentally sustainable energy, in support of accelerated In addition, the OCTP partners have submitted an expression of interest for new exploration activities in the OCTP South Block. South Block, which (GH-WB-BLK8) was previously operated by Eni Ghana between 2009 and 2010 and WB Block , which has been evaluated to hold promising exploration potential. The current assessments by the Parties are focused on optimizing the development concept and updating the economic evaluation, with the objective of resuming this new venture through direct negotiations with the State",Development and production,2025; July 2025; 2026; 2046; by 2028; 2009; 2010,622
15,TULLOW GHANA LIMITED,," Tullow Ghana Limited (TGL) in 2025 drilled and completed two (2) wells namely J72-P and J74-P. The Operator also drilled the top-hole section for J73-WI well in 2025. The subsea activities including fabrication of subsea jumpers and installation of subsea facilities were conducted. TGL conducted the Ocean Bottom Node (OBN) survey for the Jubilee field and the 4D seismic acquisition as well as commence data processing. TGL will continue with the OBN data processing in 2026 in support for wells location for the future wells., TGL will also continue with the Jubilee Life Extension project in support of extension of the Petroleum Agreement up to 2040. The life extension will cover the subsea and topsides equipment as well as the offloading buoy. The Operator will commence the Riser Base Gas Lift which will ensure gas lift for the West Riser base to support production. The Operator will commence studies into possible Multi Phase Pump (MPP) for the Jubilee field in 2026. TGL plans to drill and complete four (4) production wells, one (1) water injection well and renter J50 well and complete same in the Jubilee field in 2026. The completion of these wells will include the subsea equipment to support production or injection operations. The Operator will make some expenditure in relation to the hardware, software and spares for the subsea OTS project which requires some modifications to the Xmas trees. The Operator continues to engage the stakeholders in relation to the Gas Export Meter project and its operations. Ghana Upstream Petroleum Business Outlook Report 2026 12 TGL will continue studies into the subsea location of the TNAG well in 2026 as well as undertake modifications to reduce flaring on the FPSO JEAM and topsides projects in relation to the transition of the FPSO ownership. The TEN Infrastructure Led Exploration (ILX) deep reservoir studies will continue in 2026. TGL and other Parties to the Deepwater Tano (DWT) and West Cape Three Points (“WCTP”) Contract Areas have signed agreement with the State to amend the Petroleum Agreements related to the two licenses which are due to expire on 21st July 2034 This is in recognition of the fact that production from the Contract Areas will extend beyond the term of the petroleum agreements. As part of the amendments to the Petroleum Agreements, the Contractor Parties, the State and GNPC have agreed to amend the provisions of the DWT and WCTP PAs to extend the licenses to 2040. In return, the Contractor Parties will invest about US$2 billion in new facilities and drill a minimum of ten (10) and a maximum of twenty (20) wells in the Jubilee Field in addition to the wells yet to be drilled under the current GJFFDP as well as incorporating a gas price of US$2.50/MMBtu. In addition, GNPC shall acquire a further Additional Interest of ten percent (10%) in all Petroleum Operations under the Petroleum Agreement effective as from 20 July 2036.",Development and production,2025; 2026; 2040; July 2034; July 2036,487
16,NATURAL GAS RESOURCES DEVELOPMENT,," Ghana’s offshore sedimentary basins have significant natural gas resources a few of which have been developed and are used for purposes including power generation. The developed gas reserves are Eni’s Gye Nyame Non-Associated Gas Reserves, Jubilee Field Associated Gas Reserves, and Enyenra-Ntomme Field Associated Gas Reserves. A number of offshore gas discoveries have been appraised and awaiting development including the Tweneboa Gas Reserves, Teak Gas Reserves, Paradise Gas Reserves and Hickory North Gas Reserves. A number of near shore gas discoveries are planned for appraisal and future development. These are North Tano Gas Discovery, South Tano Gas Discovery and Ebony Gas Discovery.",Development and production,,102
16,GAS INFRASTRUCTURE PROJECT,," Consequently, a number of gas projects are ongoing to augment the existing infrastructure needed to harness gas for current and future utilisation. Gas utilisation priority is for power plant. This has created an enabling environment for investment in gas fired power plants to make use of gas as feedstock, as well as limit gas flaring from producing fields. Major projects include: Eni NAG Upgrade Project: An ongoing project on the Sankofa-Gye Nyame Field progressing increasing the gas export capability of the field’s facilities from initial 210 mmscfd (when the initial PoD was approved) to 350 mmscfd in 2028. Gas from this project is dedicated for downstream power consumption. The current gas export capability of the facilities is 270 mmscfd. This project will also allow future tie ins of other fields. Ghana Upstream Petroleum Business Outlook Report 2026 13 GNGC Atuabo Second Train GPP Project: The government has commenced the process of constructing the second train of an existing 150 mmscfd gas processing plant through equity participation. The process which is at the preliminary stage will add a second train which will augment the existing plant capacity to 300 mmscfd. This plant will processes gas from the Jubilee and TEN fields for mainly power consumption. Genser Prestea Gas Condition Plant Project: A 200 mmscfd gas conditioning plant under construction to harness gas for power generation to support primarily mining operations. Engineering Construction is to be completed by end of March 2026 Gas Infrastructure Debottlenecking: Assessment of the entire national gas- to - power infrastructure to enhance operations and address bottlenecks in the infrastructure. Ghana Upstream Petroleum Business Outlook Report 2026 14",Development and production,2028; 2026; end of March 2026,270
19,INCIDENT REPORTING AND TREND FOR 2025,," The upstream petroleum sector continues to see an upward trend in the volume of activities post-COVID-19 era. The upstream petroleum sector continued to experience significant operational activity in 2025, with cumulative industry manhours reaching approximately 12,396,271.56 manhours across offshore and onshore petroleum operations, representing an 11.25% increase from the previous year (11,142,967.93 manhours). The increase in manhours is attributed to drilling and completion campaigns by Noble Venturer drillship for Tullow Ghana Limited in the Jubilee Field and installation of mini-Christmas trees on two wells and well side track campaigns by Eni Ghana Limited using the Saipem Deep Value Driller (DVD) and Santorini rig both contracted from neighbouring Eni Ivory Coast. Although the Increased activity often correlates closely with the number of incidents recorded during operations due to personnel exposure to various operational hazards, the number of incidents recorded in the industry saw a further 8.16% reduction (90 incidents) compared to the 2024 figure (98 incidents). This reduction may be attributed to the continuous engagement with the Operators. The Commission categorises incidents reported in a similar manner as the International Oil and Gas Producers’ (IOGPs) incident categorisation which consists of about twenty-five (25) incident categories tailored specifically for the Ghanaian upstream oil and gas sector. The Oil, Gas and Chemical Release incident category had the highest tally for incidents reported across various operational areas (petroleum facilities offshore, onshore operational bases and offices). The Road traffic/Transportation incident came in with the second-highest tally in 2025. The Commission shall continue to conduct audits and inspections of all operational areas of the Operators to ensure prudent conduct of activities and compliance with all relevant laws and international standards. The Petroleum Commission continues to work closely with operators to strengthen incident reporting frameworks and encourage proactive safety management practices across the upstream petroleum sector. Overall, the industry continues to demonstrate commitment to maintaining safe operational practices while undertaking complex offshore activities. Ghana Upstream Petroleum Business Outlook Report 2026 16",HSE and other,2025; 2024; 2026,324
20,DEFERRED MAINTENANCE AND SHUTDOWN MAINTENANCE SCOPES,," In 2025, major maintenance interventions included equipment replacement and system upgrades on offshore production facilities. Such activities formed part of operators’ broader asset integrity management strategies aimed at ensuring the continued safe operation of ageing infrastructure. The Petroleum Commission continues to monitor maintenance planning and execution across petroleum facilities to ensure that operators maintain adequate maintenance regimes and minimise operational risks associated with deferred maintenance. Additionally, Eni maintains plans to undertake a shutdown in August 2026 with preparatory works which commenced in 2025 to ensure efficient maintenance and timely completion of this activity. Looking ahead to 2026, operators are expected to continue implementing planned maintenance programmes across offshore facilities, including shutdown maintenance scopes where necessary to address equipment reliability and operational efficiency. These activities are expected to contribute to improved operational integrity and overall safety performance across the upstream petroleum sector.",HSE and other,2025; August 2026; 2026,141
20,OPPORTUNITIES FOR HSE CONSULTANCY,," Operational activities anticipated within the upstream petroleum sector during 2026 are expected to present opportunities for specialised HSE consultancy services. In particular, increased drilling activities are anticipated across the Jubilee Field and the Offshore Cape Three Points (OCTP) Block. These activities are expected to involve multiple operators and contractors undertaking exploration and development drilling campaigns. Entities anticipated to undertake drilling operations during the period include Planet One, AMNI International Petroleum Development Company (AMNI), and OPCO, among others. In addition, the Petroleum Commission anticipates potential drilling activities within the Voltaian Basin onshore, where GNPC and GNPC Explorco are expected to continue advancing exploration efforts. These activities are likely to generate demand for specialised services including: Environmental monitoring and baseline studies HSE training and competency development Occupational health and industrial hygiene services Third party inspections and certification services Personal protective equipment supply Waste management and environmental monitoring services HSE Training Ghana Upstream Petroleum Business Outlook Report 2026 17",HSE and other,2026,156
21,ENVIRONMENT UPDATES,," Environmental Performance Environmental performance monitoring continued across petroleum facilities during the reporting period. Monitoring activities included fugitive emissions monitoring programmes conducted on FPSO John Agyekum Kufuor and the Onshore Receiving Facility (ORF). Operators also continued to implement leak detection and repair programmes aimed at reducing hydrocarbon emissions and improving environmental performance. Gas flaring performance across petroleum facilities showed notable improvement during the period. The industry recorded a 34.91% percent reduction in gas flaring, largely attributable to improved gas handling capacity and operational optimisation measures implemented by operators. The Petroleum Commission continues to work with operators to strengthen emissions monitoring and environmental performance management across petroleum operations. Regulatory Oversight Activities The Petroleum Commission continued to undertake regulatory oversight activities to ensure compliance with applicable health, safety and environmental requirements. Key regulatory activities conducted during the reporting period included: Rig entry inspections for drilling operations Occupational Safety and Health audit at the Onshore Receiving Facility Inspection of FPSO John Agyekum Kufuor Review of permits and operational submissions from operators Environmental monitoring activities across petroleum facilities The Commission also continued its review of the Health, Safety and Environment Guidelines to L.I. 2258 to strengthen regulatory clarity and support improved industry compliance. In addition, work commenced on the development of the Upstream Petroleum Emergency Response Plan (UPERP) to strengthen national pre- paredness and coordination in responding to petroleum-related emergencies. Offshore Safety and Security Offshore operational safety remains a priority for the Petroleum Commission. During the reporting period, several incursions into offshore petroleum safety zones were recorded across operational areas. Incursion reports were received from the Jubilee Field, TEN Field, and the OCTP Block, highlighting the need for continued stakeholder engagement with the maritime community to improve awareness of offshore safety zones. Ghana Upstream Petroleum Business Outlook Report 2026 18 The Petroleum Commission continues to collaborate with relevant state agencies to enhance monitoring and enforcement efforts aimed at reducing such incursions and safeguarding offshore petroleum infrastructure.",HSE and other,2026,321
22,OPPORTUNITIES FOR 2026,," Looking ahead, the upstream petroleum sector is once again expected to experience increased operational activity, particularly in relation to drilling campaigns within existing producing fields as well as exploration activities in emerging basins. Increased drilling activity is anticipated across the Jubilee Field and the Offshore Cape Three Points Block, while exploratory activities are expected to continue within the Voltaian Basin onshore. Finally, continued regulatory development, strengthened environmental monitoring programmes, and improved safety management practices are expected to contribute to enhanced health, safety and environmental performance across the industry. The Petroleum Commission will continue to work closely with operators and stakeholders to promote safe, environmentally responsible and sustainable petroleum operations within Ghana’s upstream petroleum sector. Ghana Upstream Petroleum Business Outlook Report 2026 19",HSE and other,2026,122
